Comments,Review
"On longer trips, however, they have a tendency to fall asleep, , which I think emphasizes how comfortable, smooth, and quiet it is .",0
It is a very comfortable car that gives us options that we never had on previous vehicles .,0
"I test drove and compared similar 4 door sedans like the Maxima, Accord, Mazda6, and noticed that none had all the features,performance,comfort ,safety,and looks that the Camry has .",0
"The navigation works flawlessly, comfortable seats .",0
"I have to say the car rode great,comfortable and gas mileage great .",0
I would recommend this car to anyone looking for a comfortable ride as well as good fuel economy .,0
"The seats were very comfortable on a four and a half hour   trip, and wind and road noise were minimal .",0
The interior is much more comfortable than my last 3 Camrys and the exterior styling is oh so chic .,0
Comfortable and quiet with excellent gas mileage .,0
"Comfort is great, mileage is good overall, better on the road than expected  , compared to my 1999 Camry .",0
"Having flown 26 different aircraft and driven cars for 61 years, I find the 2007 Camry to be the most uncomfortable cockpit I have every been in .",1
The headrest presses into my head at an uncomfortable angle and it is imposssible to tell where the front of the car is for parking .,1
The window sill is too high and the armrest too low to be comfortable .,1
"The new looks are what attracted it to me initially, but its relatively smooth drive, comfort and reliability sold me on it .",0
"It is a beautiful sapphire blue, has really nice lines, is very comfortable, is plenty peppy, and hugs the road .",0
"The ride is very comfortable, although I'm 6'6  and I didn't think head room was an issue but I do think leg room could be better, I think this is mainly because the back seats have tons of leg room .",1
It is so comfortable and drives perfect .,0
"Overall this car is very quiet, comfortable, smooth, powerful, and absolutly the best mid, size in the current market .",0
"Leather seats are comfortable, Nav system is easy to use .",0
"I only have a vibration shimmy problem at 70 mph, visited dealer three times and ended up with changing a new tire and now the ride is even quieter and comfortable .",0
Leather seats were comfortable .,0
Leather interior very comfortable .,0
"My conclusion after doing a ton of research regarding safety, reliability, comfort and gas mileage :",0
the Hyundai Sonata is thousands of dollars cheaper and matches the Camry in all respects except comfort .,0
Bottom line was that I was going to be in that driver's seat for years to come and I was not going to skimp on the critical comfort factor .,0
"While the '03 was roomy and comfortable, the steering and handling were very vague .",1
"The interior is upgraded markedly, and although there is a bit less headroom, the added telescoping feature of the steering wheel combined with the greater travel of the seat   yields greater comfort .",0
", a luxurious comfort feature, and a fuel consumption that is best in the class .",0
Nice looking interior but seats are very hard and are not comfortable for long trips .,1
Top notch rating on interior comfort .,0
The car is VERY comfortable and the air conditioning is perfect for the heat here in Arizona .,0
Extremely comfortable with 3 separate power driver seat adjustments .,0
"I purchased a Camry LE approximately 2 months ago, it's a smooth comfortable ride .",0
I selected the Camry for its comfort and reliability .,0
This new Camry is indeed very comfortable with quiet and soft ride .,0
Very uncomfortable when driving long distances .,1
I am not real fond of the electric seat and I find it is not as comfortable as my F150 pickup on trips .,1
"This car is easy to drive, great gas mileage and comfortable .",0
"However, when we drove the Camry we were impressed with its looks and the comfort of the ride .",0
